R_AA,"J_H = J_{7,1} + J_{8,2}","J_D = J_{6,4} + J_{8,2}"
6918.309709189362,0.1660118260449742,-0.10363382134006618
5754.399373371567,0.171999766545033,-0.10361038279528348
4786.30092322638,0.17856319166666818,-0.1035840534279699
3981.071705534969,0.1857571021588801,-0.10355442780148136
3311.3112148259074,0.19364167708223304,-0.10352103604152094
2754.228703338163,0.2022827403464993,-0.10348333259273244
2290.867652767772,0.21175226332888164,-0.10344068290767561
1905.4607179632465,0.22212890454928208,-0.10339234768262989
1584.8931924611156,0.23349858675222207,-0.10333746418414586
1318.2567385564087,0.24595511084984387,-0.1032750241284375
1096.478196143186,0.25960080492553766,-0.10320384748064
912.0108393559105,0.2745472047763246,-0.10312255143178402
758.5775750291843,0.2909157601374092,-0.10302951368613819
630.9573444801937,0.3088385575987399,-0.10292282905042814
524.8074602497728,0.32845904706074075,-0.10280025815955349
436.51583224016605,0.34993275308405514,-0.1026591670014415
363.0780547701014,0.3734279452961733,-0.10249645572158883
301.99517204020157,0.3991262326694254,-0.1023084750014367
251.188643150958,0.4272230344133579,-0.10209092812617478
208.92961308540407,0.4579278647618055,-0.10183875670537508
173.78008287493762,0.49146434929120686,-0.1015460079119194
144.5439770745928,0.5280698656939162,-0.10120568110280431
120.22644346174131,0.5679946712035983,-0.10080955183950144
100.0,0.6115003412039047,-0.1003479717196346
83.1763771102671,0.6588572982138303,-0.0998096431817723
69.18309709189361,0.7103411571498566,-0.09918136970551238
57.543993733715666,0.7662275521262549,-0.09844778380174304
47.863009232263806,0.8267850442267177,-0.0975910581253003
39.8107170553497,0.892265643336969,-0.09659060924664606
33.11311214825908,0.9628924187866319,-0.09542280942723094
27.542287033381633,1.0388436373066974,-0.0940607294875774
22.908676527677702,1.1202328743774652,-0.09247394579094889
19.054607179632463,1.207084627809636,-0.09062845653090709
15.848931924611158,1.2993051628187224,-0.08848676653333598
13.182567385564088,1.3966486888767822,-0.0860082145785338
10.964781961431862,1.4986795691436166,-0.08314963065310826
9.120108393559105,1.6047321466269489,-0.07986641892058777
7.585775750291844,1.7138709635371898,-0.07611416017664657
6.309573444801936,1.824855616493359,-0.07185080810498823
5.248074602497728,1.9361160891571716,-0.0670395089395931
4.365158322401661,2.045745842426234,-0.061651997518306745
3.6307805477010144,2.151520750659174,-0.05567241211113505
3.019951720402016,2.250951535758343,-0.049101232826196384
2.5118864315095797,2.3413750379638003,-0.04195890419454956
2.089296130854041,2.4200850699933034,-0.034288586974165036
1.7378008287493762,2.4844968794457727,-0.026157443072919395
1.4454397707459279,2.532331374005867,-0.017655934585198874
1.2022644346174132,2.5617980915341763,-0.008894835969913362
1.0,2.571751748989681,-5.551115123125783e-16
0.8317637711026707,2.561798077535478,0.008894682033700696
0.6918309709189363,2.532331264604822,0.017655328073914567
0.5754399373371567,2.4844965241289145,0.026156111880645372
0.478630092322638,2.420084270925316,0.03428629957254248
0.3981071705534973,2.3413735765899526,0.04195547900247676
0.3311311214825911,2.25094919909192,0.04909654236783767
0.27542287033381657,2.1515173530307803,0.055666382283812266
0.22908676527677724,2.0457412402047903,0.06164460293167162
0.19054607179632463,1.9361101878340965,0.06703076561625171
0.15848931924611126,1.824848371016997,0.07184076486169366
0.13182567385564062,1.7138623736435716,0.07610288981552471
0.1096478196143184,1.604722249151918,0.07985401005691373
0.09120108393559087,1.4986684290947645,0.08313618068305673
0.07585775750291829,1.3966363906073866,0.0859938240091877
0.06309573444801923,1.299291802158982,0.08847153468753782
0.052480746024977286,1.207070305584391,0.09061247850524404
