R_off,k_AA,Proton Flux (/s),Substrate Flux (/s)
0.10000000000000002,1.0,0.20876028683816922,-0.011227947915660164
0.12589254117941662,1.0,0.21734266192544408,-0.010218296468804757
0.15848931924611143,1.0,0.22541263588422125,-0.009173671054836047
0.1995262314968879,1.0,0.232855268776979,-0.00809742432705696
0.2511886431509577,1.0,0.23956078966864777,-0.0069931729636463396
0.3162277660168379,1.0,0.2454274504100837,-0.005864730187223118
0.39810717055349776,1.0,0.2503641876760685,-0.004716043906415746
0.5011872336272725,1.0,0.2542930012931727,-0.0035511448704222117
0.6309573444801929,1.0,0.25715097698997014,-0.0023741077356592166
0.7943282347242806,1.0,0.25889190192934713,-0.001189026036677875
1.0,1.0,0.259487439208749,-8.959452812071736e-19
1.2589254117941686,1.0,0.25892784148100784,0.0011888657594847137
1.5848931924611143,1.0,0.2572221937835293,0.0023734590801481725
1.9952623149688788,1.0,0.2543981825951574,0.0035496568546894156
2.511886431509577,1.0,0.2505013939438771,0.00471332663252614
3.1622776601683795,1.0,0.2455941502518168,0.005860337703720985
3.9810717055349776,1.0,0.23975390542191619,0.006986584718041924
5.011872336272725,1.0,0.2330712315053653,0.008088025018072969
6.30957344480193,1.0,0.22564744800921285,0.00916072882327577
7.943282347242821,1.0,0.21759196508957793,0.010200939490984154
9.999999999999998,1.0,0.20901943202250656,0.0112051395679015
12.589254117941689,1.0,0.20004679933037042,0.012170117425867526
15.848931924611142,1.0,0.19079041366778973,0.013093029041393625
19.95262314968879,1.0,0.1813632666252198,0.013971449913229466
25.118864315095824,1.0,0.17187251079960364,0.014803413102192074
31.622776601683796,1.0,0.16241733911699693,0.015587430740247639
39.81071705534977,1.0,0.1530872982341948,0.016322497878285134
50.11872336272725,1.0,0.14396107677078324,0.0170080790187421
63.0957344480193,1.0,0.13510577757240058,0.017644078943513386
79.43282347242821,1.0,0.126576653578303,0.018230800390112233
100.0,1.0,0.11841726197750595,0.0187688917032136
125.89254117941688,1.0,0.11065997306260258,0.019259287804021745
158.48931924611142,1.0,0.10332675932651025,0.01970314772792135
199.52623149688807,1.0,0.0964301866888403,0.02010179165789545
251.18864315095797,1.0,0.08997453230043564,0.02045663991175749
316.2277660168379,1.0,0.08395696069254201,0.020769155805032125
398.1071705534977,1.0,0.078368700468729,0.02104079377461541
501.1872336272726,1.0,0.07319617571240482,0.02127295365999093
630.9573444801938,1.0,0.06842205847254701,0.02146694162972721
794.3282347242813,1.0,0.06402622009735108,0.021623937926322195
999.9999999999999,1.0,0.059986569159117445,0.021744971384643257
1258.9254117941687,1.0,0.05627977191681098,0.02183090055165599
1584.893192461114,1.0,0.052881857609923304,0.021882401185419842
1995.2623149688807,1.0,0.049768715463239174,0.02189995992377424
2511.88643150958,1.0,0.04691649331315271,0.02188387397053765
3162.2776601683795,1.0,0.04430190950299601,0.021834256731692907
3981.0717055349774,1.0,0.041902490409295154,0.02175104942814387
5011.872336272725,1.0,0.03969674590700691,0.02163403879739604
6309.573444801935,1.0,0.037664294478882775,0.02148288105597603
7943.282347242815,1.0,0.03578594869943342,0.021297132309455902
10000.0,1.0,0.03404377061230924,0.021076285549614326
12589.254117941686,1.0,0.032421105167857435,0.020819814251572817
15848.931924611143,1.0,0.030902598460576716,0.02052722236328084
19952.623149688807,1.0,0.02947420604710487,0.020198100156056484
25118.864315095798,1.0,0.02812319516403671,0.019832184976772523
31622.776601683792,1.0,0.026838143227142126,0.019429425420378087
39810.71705534978,1.0,0.025608933609751344,0.01899004685208252
50118.72336272726,1.0,0.02442674840949428,0.018514615596509073
63095.734448019364,1.0,0.023284056775184848,0.018004098540560825
79432.82347242814,1.0,0.022174596449661247,0.017459914448554756
99999.99999999999,1.0,0.02109334556894382,0.016883973053235538
125892.54117941686,1.0,0.020036481520484335,0.016278698053722163
158489.3192461114,1.0,0.01900132386391027,0.015647030592886985
199526.2314968881,1.0,0.017986258982453745,0.014992410638418769
251188.64315095794,1.0,0.016990645237661757,0.014318734938650109
316227.76601683797,1.0,0.016014698858840437,0.013630291789177903
398107.17055349774,1.0,0.015059362466291349,0.012931674590822333
501187.233627273,1.0,0.014126159810483556,0.012227677916432252
630957.3444801937,1.0,0.0132170417925821,0.011523181323371396
794328.2347242812,1.0,0.012334229912079048,0.010823027251400464
1000000.0,1.0,0.011480063809401626,0.010131899880378291
1258925.4117941686,1.0,0.0106568594569322,0.009454211713139595
1584893.1924611116,1.0,0.009866783814214016,0.008794003911512874
1995262.3149688807,1.0,0.009111750504153698,0.008154865151162026
2511886.431509586,1.0,0.008393339456918393,0.007539872144974001
3162277.6601683795,1.0,0.007712741713022298,0.006951553221839108
3981071.7055349774,1.0,0.007070728882486983,0.006391874644030514
5011872.336272718,1.0,0.006467645296118081,0.005862247875488913
6309573.444801937,1.0,0.005903419776782524,0.005363554894335145
7943282.347242836,1.0,0.005377593259095115,0.004896187932106223
10000000.000000002,1.0,0.004889358191882224,0.004460099716530739
12589254.117941689,1.0,0.004437605719412338,0.004054860344594892
15848931.924611123,1.0,0.004020976975575308,0.0036797172393366775
19952623.149688806,1.0,0.0036379153490262808,0.003333655156519903
25118864.31509587,1.0,0.003286717198617179,0.003015453818079931
31622776.60168379,1.0,0.0029655791418757675,0.0027237413827817226
39810717.055349775,1.0,0.0026726406476550793,0.0024570425637616797
50118723.362727195,1.0,0.002406021199490121,0.0022138207296999823
63095734.44801939,1.0,0.0021638517384207846,0.0019925137610468245
79432823.47242837,1.0,0.001944300437087795,0.0017915637689950204
100000000.0,1.0,0.0017455931050894043,0.0016094410270140504
125892541.179417,1.0,0.001566028689703862,0.0014446626234827743
158489319.24611136,1.0,0.0014039904302274456,0.0012958064333082515
199526231.4968881,1.0,0.0012579532633219387,0.0011615210413051915
251188643.15095872,1.0,0.0011264880751277553,0.0010405322446930168
316227766.01683795,1.0,0.0010082633659857898,0.0009316467287961141
398107170.55349815,1.0,0.0009020448457839568,0.0008337534592184259
501187233.62727195,1.0,0.0008066934203427997,0.0007458232735014925
630957344.4801942,1.0,0.0007211619679562575,0.0006669070916039313
794328234.7242844,1.0,0.0006444912445020823,0.0005961331017197802
1000000000.0000029,1.0,0.000575805198263628,0.0005327032187859507
1258925411.794171,1.0,0.0005143059234564874,0.000475889059185434
1584893192.4611251,1.0,0.00045926843527539123,0.0004250276274565278
1995262314.968881,1.0,0.00041003540931269236,0.00037951686949371037
2511886431.509586,1.0,0.0003660119942879868,0.0003388112115944111
