R_AA,Proton Flux (/s),Substrate Flux (/s)
0.02511886431509582,0.8922484367428696,0.0965724600130815
0.02089296130854041,0.8267673256227859,0.0975725310187913
0.017378008287493765,0.7662093894956014,0.09842893001343622
0.014454397707459281,0.7103226106369955,0.0991622339221266
0.012022644346174132,0.6588384205976165,0.09979026422257184
0.01,0.6114811784993794,0.10032838317722967
0.008317637711026707,0.5679752633212949,0.10078978269649619
0.006918309709189362,0.5280502471079468,0.10118575630741142
0.005754399373371567,0.4914445496843413,0.10152594890358387
0.004786300923226381,0.45790790962858324,0.10181858188696587
0.0039810717055349725,0.4272029456109401,0.1020706532828428
0.0033113112148259113,0.39910602891230423,0.10228811366857711
0.002754228703338166,0.3734076425945001,0.10247601950560448
0.0022908676527677724,0.3499123651283807,0.10263866585767899
0.0019054607179632465,0.32843858555685534,0.10277970063196691
0.0015848931924611123,0.3088180325572914,0.10290222247743862
0.0013182567385564062,0.29089518012336973,0.10300886437695411
0.001096478196143184,0.27452657712269907,0.10310186481705946
0.0009120108393559088,0.2595801359162322,0.10318312824094511
0.0007585775750291829,0.24593440587555837,0.10325427630373828
0.0006309573444801922,0.23347785044299707,0.10331669126692337
0.0005248074602497727,0.2221081408874054,0.10337155269710373
0.000436515832240166,0.21173147574464193,0.10341986847719621
0.0003630780547701017,0.20226193179939622,0.10346250099703547
0.00030199517204020185,0.19362085013005154,0.10350018926543969
0.00025118864315095817,0.18573625901606894,0.10353356757640798
0.0002089296130854041,0.17854233425401592,0.10356318126716497
0.00017378008287493758,0.17197889653185525,0.10358950002389762
0.0001445439770745928,0.1659909448847395,0.10361292912082028
0.00012022644346174131,0.16052822483249984,0.10363381891825878
0.0001,0.15554482952789173,0.1036524728944481
8.317637711026702e-05,0.15099883208613485,0.10366915444247451
6.918309709189356e-05,0.14685194719034556,0.10368409262718431
5.754399373371569e-05,0.1430692200512853,0.10369748706595674
4.786300923226379e-05,0.1396187408261567,0.10370951207116325
3.9810717055349695e-05,0.1364713826569495,0.10372032017017223
3.3113112148259036e-05,0.13360056156429656,0.10373004510028234
2.7542287033381616e-05,0.13098201652068672,0.10373880436043423
2.29086765276777e-05,0.1285936081218088,0.10374670138850255
1.9054607179632457e-05,0.1264151343728556,0.10375382742201357
1.584893192461111e-05,0.12442816220495642,0.10376026309093644
1.3182567385564046e-05,0.1226158734335337,0.10376607978347842
1.0964781961431837e-05,0.12096292396390991,0.10377134081933763
9.12010839355907e-06,0.11945531513901107,0.10377610245943306
7.585775750291812e-06,0.11808027620895326,0.10378041477657002
6.3095734448019246e-06,0.11682615698234458,0.103784322407672
5.248074602497711e-06,0.1156823297941659,0.10378786520499575
4.365158322401642e-06,0.11463909999510896,0.10379107880104704
3.630780547701002e-06,0.11368762423235902,0.1037939950996466
3.0199517204020083e-06,0.11281983585217549,0.10379664270368899
2.5118864315095755e-06,0.11202837681046042,0.1037990472885331
2.0892961308540292e-06,0.111306535529043,0.10380123192861361
1.7378008287493666e-06,0.1106481901829038,0.10380321738372425
1.4454397707459241e-06,0.11004775694726865,0.10380502235046633
1.2022644346174077e-06,0.10950014277367182,0.10380666368354566
1e-06,0.10900070230097271,0.10380815659091848
8.317637711026621e-07,0.10854519854114542,0.10380951480620881
6.918309709189354e-07,0.10812976701068108,0.10381075074133014
5.75439937337154e-07,0.10775088300685667,0.10381187562183021
4.786300923226337e-07,0.1074053317541461,0.10381289960712538
3.9810717055349507e-07,0.107090181169859,0.10381383189749178
3.31131121482587e-07,0.10680275701987842,0.1038146808294266
2.7542287033381515e-07,0.10654062025529014,0.10381545396077455
2.2908676527677316e-07,0.10630154633890689,0.10381615814683028
1.9054607179632197e-07,0.1060835063873397,0.10381679960846889
1.584893192461083e-07,0.10588464996947462,0.10381738399321966
1.318256738556401e-07,0.1057032894161119,0.10381791643008309
1.0964781961431804e-07,0.1055378855082136,0.10381840157878985
9.120108393559038e-08,0.1053870344227992,0.10381884367411462
7.585775750291646e-08,0.10524945582610994,0.10381924656578201
6.309573444801724e-08,0.10512398201332743,0.10381961375443856
5.248074602497551e-08,0.10500954800295365,0.10381994842410765
4.3651583224015805e-08,0.1049051825020103,0.10382025347149626
3.630780547700926e-08,0.10480999966556717,0.10382053153247964
3.019951720401886e-08,0.10472319158081493,0.10382078500605278
2.51188643150956e-08,0.10464402141202118,0.10382101607600643
2.0892961308540004e-08,0.10457181714829296,0.10382122673055563
1.7378008287493664e-08,0.10450596590116769,0.10382141878012427
1.4454397707459122e-08,0.10444590870370443,0.10382159387346848
1.2022644346173199e-08,0.1043911357669915,0.10382175351230016
1e-08,0.1043411821538577,0.10382189906455691
